,0
0,60.139705657958984
1,1394.134521484375
2,2010.595703125
3,2901.4365234375
4,2879.090576171875
5,1839.69287109375
6,2424.245361328125
7,1771.617431640625
8,1523.61328125
9,1619.98779296875
10,2347.563232421875
11,2232.521728515625
12,1782.5262451171875
13,2422.65185546875
14,1427.5001220703125
15,658.5277709960938
16,1486.78173828125
17,2463.2490234375
18,2087.334716796875
19,1952.5902099609375
20,1275.4898681640625
21,776.7775268554688
22,613.3272094726562
23,958.603271484375
24,973.498779296875
25,1254.6573486328125
26,-656.2095947265625
27,714.9100952148438
28,1118.9239501953125
29,1257.3494873046875
30,969.2862548828125
31,1046.586669921875
32,1783.287841796875
33,1687.998779296875
