,0
0,107.11919073469193
1,120.85539316122447
2,107.32953057084222
3,125.69675650582764
4,104.90884889854064
5,112.90885689854463
6,97.22435065276207
7,129.48642066967935
8,109.06572099736876
9,124.11743417812723
10,87.82054910409738
11,101.57595421504354
12,111.47084129703788
13,111.47084129703788
14,111.47084129703788
15,111.47084129703788
16,111.47084129703788
17,111.47084129703788
18,111.47084129703788
19,111.47084129703788
20,139.08496468241685
21,134.53985440666852
22,127.99470413052016
23,129.4497138559718
24,132.55492477444744
25,129.6600156917231
26,128.71565018747071
27,131.06552899524675
28,128.92595202322204
29,132.38100174907368
30,117.69658250436264
31,124.15169223081429
32,126.71187287434158
33,129.16690259999325
34,131.62193232564488
35,139.07706205229655
36,145.42702086087257
37,145.8820105861242
38,146.44215122925152
39,140.89702095330313
40,139.03833648153153
41,157.8434300167617
42,153.4035276594875
43,148.85839838353962
44,152.31358111078782
45,157.76859483624145
46,146.87363975311408
47,142.97867266979074
48,143.28507812826086
49,143.740048853313
